Time,kraken
2014-05-06 00:00:00 UTC,
2014-05-07 00:00:00 UTC,0.02332
2014-05-08 00:00:00 UTC,
2014-05-09 00:00:00 UTC,
2014-05-10 00:00:00 UTC,0.728
2014-05-11 00:00:00 UTC,0.272
2014-05-12 00:00:00 UTC,1.0
2014-05-13 00:00:00 UTC,
2014-05-14 00:00:00 UTC,1.0
2014-05-15 00:00:00 UTC,
2014-05-16 00:00:00 UTC,0.55716
2014-05-17 00:00:00 UTC,
2014-05-18 00:00:00 UTC,
2014-05-19 00:00:00 UTC,
2014-05-20 00:00:00 UTC,
2014-05-21 00:00:00 UTC,
2014-05-22 00:00:00 UTC,
2014-05-23 00:00:00 UTC,
2014-05-24 00:00:00 UTC,
2014-05-25 00:00:00 UTC,2.0
2014-05-26 00:00:00 UTC,3.44
2014-05-27 00:00:00 UTC,1.015
2014-05-28 00:00:00 UTC,
2014-05-29 00:00:00 UTC,2.25
2014-05-30 00:00:00 UTC,2.0
2014-05-31 00:00:00 UTC,11.57165
2014-06-01 00:00:00 UTC,0.75074074
2014-06-02 00:00:00 UTC,2.61751
2014-06-03 00:00:00 UTC,5.34297
2014-06-04 00:00:00 UTC,6.78572806
2014-06-05 00:00:00 UTC,0.6
2014-06-06 00:00:00 UTC,0.30596
2014-06-07 00:00:00 UTC,
2014-06-08 00:00:00 UTC,4.0
2014-06-09 00:00:00 UTC,0.02698158
2014-06-10 00:00:00 UTC,
2014-06-11 00:00:00 UTC,11.229
2014-06-12 00:00:00 UTC,
2014-06-13 00:00:00 UTC,0.32200384
2014-06-14 00:00:00 UTC,
2014-06-15 00:00:00 UTC,
2014-06-16 00:00:00 UTC,
2014-06-17 00:00:00 UTC,6.63
2014-06-18 00:00:00 UTC,7.915
2014-06-19 00:00:00 UTC,
2014-06-20 00:00:00 UTC,8.015
2014-06-21 00:00:00 UTC,
2014-06-22 00:00:00 UTC,
2014-06-23 00:00:00 UTC,7.77
2014-06-24 00:00:00 UTC,9.74674027
2014-06-25 00:00:00 UTC,2.11
2014-06-26 00:00:00 UTC,
2014-06-27 00:00:00 UTC,9.88
2014-06-28 00:00:00 UTC,2.43749
2014-06-29 00:00:00 UTC,1.14275
2014-06-30 00:00:00 UTC,
2014-07-01 00:00:00 UTC,
2014-07-02 00:00:00 UTC,
2014-07-03 00:00:00 UTC,
2014-07-04 00:00:00 UTC,
2014-07-05 00:00:00 UTC,
2014-07-06 00:00:00 UTC,
2014-07-07 00:00:00 UTC,0.85675
2014-07-08 00:00:00 UTC,
2014-07-09 00:00:00 UTC,
2014-07-10 00:00:00 UTC,3.1179
2014-07-11 00:00:00 UTC,
2014-07-12 00:00:00 UTC,
2014-07-13 00:00:00 UTC,
2014-07-14 00:00:00 UTC,
2014-07-15 00:00:00 UTC,0.04583
2014-07-16 00:00:00 UTC,
2014-07-17 00:00:00 UTC,
2014-07-18 00:00:00 UTC,
2014-07-19 00:00:00 UTC,
2014-07-20 00:00:00 UTC,
2014-07-21 00:00:00 UTC,
2014-07-22 00:00:00 UTC,
2014-07-23 00:00:00 UTC,
2014-07-24 00:00:00 UTC,
2014-07-25 00:00:00 UTC,
2014-07-26 00:00:00 UTC,
2014-07-27 00:00:00 UTC,
2014-07-28 00:00:00 UTC,
2014-07-29 00:00:00 UTC,
2014-07-30 00:00:00 UTC,0.71
2014-07-31 00:00:00 UTC,1.5167
2014-08-01 00:00:00 UTC,
2014-08-02 00:00:00 UTC,
2014-08-03 00:00:00 UTC,
2014-08-04 00:00:00 UTC,
2014-08-05 00:00:00 UTC,1.914
2014-08-06 00:00:00 UTC,
2014-08-07 00:00:00 UTC,
2014-08-08 00:00:00 UTC,
2014-08-09 00:00:00 UTC,
2014-08-10 00:00:00 UTC,
2014-08-11 00:00:00 UTC,
2014-08-12 00:00:00 UTC,
2014-08-13 00:00:00 UTC,
2014-08-14 00:00:00 UTC,
2014-08-15 00:00:00 UTC,
2014-08-16 00:00:00 UTC,0.11862491
2014-08-17 00:00:00 UTC,
2014-08-18 00:00:00 UTC,0.2
2014-08-19 00:00:00 UTC,0.01098899
2014-08-20 00:00:00 UTC,
2014-08-21 00:00:00 UTC,
2014-08-22 00:00:00 UTC,
2014-08-23 00:00:00 UTC,
2014-08-24 00:00:00 UTC,
2014-08-25 00:00:00 UTC,
2014-08-26 00:00:00 UTC,
2014-08-27 00:00:00 UTC,0.4
2014-08-28 00:00:00 UTC,
2014-08-29 00:00:00 UTC,
2014-08-30 00:00:00 UTC,1.3
2014-08-31 00:00:00 UTC,
2014-09-01 00:00:00 UTC,
2014-09-02 00:00:00 UTC,
