,Time,exchange,vol_total,vol_cny,vol_usd,vol_eur,vol_inr,vol_jpy,vol_krw,vol_sgd
24962,2010-07-21,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16643,2010-07-21,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35429,2010-07-21,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8324,2010-07-21,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38221,2010-07-21,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2778,2010-07-21,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11097,2010-07-21,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24963,2010-07-22,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2010-07-22,mtgox,2160.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.0
2779,2010-07-22,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8325,2010-07-22,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38222,2010-07-22,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13871,2010-07-22,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32653,2010-07-22,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35430,2010-07-22,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22190,2010-07-22,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16644,2010-07-22,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19417,2010-07-22,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11098,2010-07-22,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5552,2010-07-22,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19418,2010-07-23,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2780,2010-07-23,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13872,2010-07-23,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32654,2010-07-23,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24964,2010-07-23,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16645,2010-07-23,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38223,2010-07-23,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8326,2010-07-23,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35431,2010-07-23,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22191,2010-07-23,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11099,2010-07-23,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2010-07-23,mtgox,2402.5,0.0,2402.5,0.0,0.0,0.0,0.0,0.0
5553,2010-07-23,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35432,2010-07-24,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13873,2010-07-24,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2781,2010-07-24,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8327,2010-07-24,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11100,2010-07-24,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5554,2010-07-24,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38224,2010-07-24,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32655,2010-07-24,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19419,2010-07-24,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16646,2010-07-24,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22192,2010-07-24,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2010-07-24,mtgox,496.32,0.0,496.32,0.0,0.0,0.0,0.0,0.0
24965,2010-07-24,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5555,2010-07-25,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8328,2010-07-25,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24966,2010-07-25,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16647,2010-07-25,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11101,2010-07-25,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35433,2010-07-25,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2782,2010-07-25,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32656,2010-07-25,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13874,2010-07-25,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22193,2010-07-25,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
