Time,localbitcoins
2013-12-17 00:00:00 UTC,0.6137
2013-12-18 00:00:00 UTC,4.109
2013-12-19 00:00:00 UTC,0.4352
2013-12-20 00:00:00 UTC,1.2423
2013-12-21 00:00:00 UTC,0.5
2013-12-23 00:00:00 UTC,0.4804
2013-12-24 00:00:00 UTC,1.0949
2013-12-25 00:00:00 UTC,0.256
2013-12-26 00:00:00 UTC,1.3174
2013-12-27 00:00:00 UTC,1.9712
2013-12-28 00:00:00 UTC,2.5151
2013-12-29 00:00:00 UTC,0.2041
2013-12-30 00:00:00 UTC,1.1335
2013-12-31 00:00:00 UTC,3.9276
2014-01-01 00:00:00 UTC,2.1165
2014-01-02 00:00:00 UTC,1.1731
2014-01-03 00:00:00 UTC,3.1701
2014-01-04 00:00:00 UTC,18.994
2014-01-05 00:00:00 UTC,3.3552
2014-01-06 00:00:00 UTC,6.0097
2014-01-07 00:00:00 UTC,4.8394
2014-01-08 00:00:00 UTC,1.7064
2014-01-09 00:00:00 UTC,3.6178
2014-01-10 00:00:00 UTC,5.9672
2014-01-11 00:00:00 UTC,1.3217
2014-01-12 00:00:00 UTC,5.1048
2014-01-13 00:00:00 UTC,0.5241
2014-01-14 00:00:00 UTC,4.844
2014-01-15 00:00:00 UTC,8.6323
2014-01-16 00:00:00 UTC,2.9792
2014-01-17 00:00:00 UTC,0.8135
2014-01-18 00:00:00 UTC,1.0764
2014-01-19 00:00:00 UTC,0.3419
2014-01-20 00:00:00 UTC,9.8309
2014-01-21 00:00:00 UTC,5.404
2014-01-22 00:00:00 UTC,9.7479
2014-01-23 00:00:00 UTC,17.4363
2014-01-24 00:00:00 UTC,2.1146
2014-01-25 00:00:00 UTC,2.4568
2014-01-26 00:00:00 UTC,0.4088
2014-01-27 00:00:00 UTC,6.2969
2014-01-28 00:00:00 UTC,6.2756
2014-01-29 00:00:00 UTC,2.2188
2014-01-30 00:00:00 UTC,5.0947
2014-01-31 00:00:00 UTC,5.3266
2014-02-01 00:00:00 UTC,4.0717
2014-02-02 00:00:00 UTC,3.0154
2014-02-03 00:00:00 UTC,5.5882
2014-02-04 00:00:00 UTC,3.0211
2014-02-05 00:00:00 UTC,6.3408
2014-02-06 00:00:00 UTC,2.9232
2014-02-07 00:00:00 UTC,5.5007
2014-02-08 00:00:00 UTC,5.1713
2014-02-09 00:00:00 UTC,0.6313
2014-02-10 00:00:00 UTC,3.8607
2014-02-11 00:00:00 UTC,5.9042
2014-02-12 00:00:00 UTC,1.7518
2014-02-13 00:00:00 UTC,2.3358
2014-02-14 00:00:00 UTC,12.0783
2014-02-15 00:00:00 UTC,3.1119
2014-02-16 00:00:00 UTC,1.8916
2014-02-17 00:00:00 UTC,2.6767
2014-02-18 00:00:00 UTC,6.0162
2014-02-19 00:00:00 UTC,2.9435
2014-02-20 00:00:00 UTC,7.3382
2014-02-21 00:00:00 UTC,4.8549
2014-02-22 00:00:00 UTC,1.7003
2014-02-23 00:00:00 UTC,1.5593
2014-02-24 00:00:00 UTC,2.7737
2014-02-25 00:00:00 UTC,1.937
2014-02-26 00:00:00 UTC,6.3867
2014-02-27 00:00:00 UTC,4.0747
2014-02-28 00:00:00 UTC,3.983
2014-03-01 00:00:00 UTC,0.8136
2014-03-02 00:00:00 UTC,3.4259
2014-03-03 00:00:00 UTC,5.1307
2014-03-04 00:00:00 UTC,14.7637
2014-03-05 00:00:00 UTC,9.4745
2014-03-06 00:00:00 UTC,3.3893
2014-03-07 00:00:00 UTC,3.4346
2014-03-08 00:00:00 UTC,1.9934
2014-03-09 00:00:00 UTC,0.8188
2014-03-10 00:00:00 UTC,4.535
2014-03-11 00:00:00 UTC,5.5809
2014-03-12 00:00:00 UTC,4.7351
2014-03-13 00:00:00 UTC,4.0931
2014-03-14 00:00:00 UTC,4.2842
2014-03-15 00:00:00 UTC,1.4255
2014-03-16 00:00:00 UTC,2.1632
2014-03-17 00:00:00 UTC,0.8756
2014-03-18 00:00:00 UTC,1.2356
2014-03-19 00:00:00 UTC,4.0706862
2014-03-20 00:00:00 UTC,3.9536013
2014-03-21 00:00:00 UTC,4.5937238
2014-03-22 00:00:00 UTC,1.7184413
2014-03-23 00:00:00 UTC,1.0024883
2014-03-24 00:00:00 UTC,0.2557536
2014-03-25 00:00:00 UTC,3.3386917
2014-03-26 00:00:00 UTC,1.6435757
2014-03-27 00:00:00 UTC,1.8484181
2014-03-28 00:00:00 UTC,3.8870212
2014-03-29 00:00:00 UTC,12.9176863
2014-03-30 00:00:00 UTC,0.6391185
2014-03-31 00:00:00 UTC,2.3047363
2014-04-01 00:00:00 UTC,1.3848932
2014-04-02 00:00:00 UTC,1.803856
2014-04-03 00:00:00 UTC,7.5782076
2014-04-04 00:00:00 UTC,2.0536003
2014-04-05 00:00:00 UTC,1.0121033
2014-04-06 00:00:00 UTC,0.4482031
2014-04-07 00:00:00 UTC,5.9322682
2014-04-08 00:00:00 UTC,1.9423476
2014-04-09 00:00:00 UTC,6.007956
2014-04-10 00:00:00 UTC,2.9289013
2014-04-11 00:00:00 UTC,2.6699123
2014-04-12 00:00:00 UTC,3.1465476
2014-04-13 00:00:00 UTC,6.9266069
2014-04-14 00:00:00 UTC,4.1319864
2014-04-15 00:00:00 UTC,2.4252502
2014-04-16 00:00:00 UTC,9.763905
2014-04-17 00:00:00 UTC,2.6641863
2014-04-18 00:00:00 UTC,0.3993784
2014-04-19 00:00:00 UTC,1.34933
2014-04-20 00:00:00 UTC,1.3934542
2014-04-21 00:00:00 UTC,3.4592421
2014-04-22 00:00:00 UTC,2.9028492
2014-04-23 00:00:00 UTC,4.4802764
2014-04-24 00:00:00 UTC,8.1786
2014-04-25 00:00:00 UTC,9.7758
2014-04-26 00:00:00 UTC,8.4907
2014-04-27 00:00:00 UTC,1.2517
2014-04-28 00:00:00 UTC,4.4204
2014-04-29 00:00:00 UTC,4.2221
2014-04-30 00:00:00 UTC,12.6284
2014-05-01 00:00:00 UTC,6.7758
2014-05-02 00:00:00 UTC,14.754
2014-05-03 00:00:00 UTC,1.0154
2014-05-05 00:00:00 UTC,2.2194
