Time,bit-x,bitcoin24,bitcoinde,bitstamp,coinbase,gatecoin,itbit,kraken,mtgox,others
2011-07-27 00:00:00 UTC,,,,,,,,,,
2011-07-28 00:00:00 UTC,,,,,,,,,,
2011-07-29 00:00:00 UTC,,,,,,,,,,
2011-07-30 00:00:00 UTC,,,,,,,,,,
2011-07-31 00:00:00 UTC,,,,,,,,,,
2011-08-01 00:00:00 UTC,,,,,,,,,,
2011-08-02 00:00:00 UTC,,,,,,,,,,
2011-08-03 00:00:00 UTC,,,,,,,,,,8.02108
2011-08-04 00:00:00 UTC,,,,,,,,,,
2011-08-05 00:00:00 UTC,,,,,,,,,,
2011-08-06 00:00:00 UTC,,,,,,,,,,
2011-08-07 00:00:00 UTC,,,,,,,,,,
2011-08-08 00:00:00 UTC,,,,,,,,,,25.0
2011-08-09 00:00:00 UTC,,,,,,,,,,
2011-08-10 00:00:00 UTC,,,,,,,,,,
2011-08-11 00:00:00 UTC,,,,,,,,,,12.5
2011-08-13 00:00:00 UTC,,,,,,,,,,1.52
2011-08-16 00:00:00 UTC,,,,,,,,,,1.0
2011-08-18 00:00:00 UTC,,,,,,,,,,30.0
2011-08-19 00:00:00 UTC,,,,,,,,,,27.18
2011-08-20 00:00:00 UTC,,,,,,,,,,22.0
2011-08-21 00:00:00 UTC,,,,,,,,,,40.0
2011-08-22 00:00:00 UTC,,,,,,,,,,2.0
2011-08-23 00:00:00 UTC,,,,,,,,,,16.0
2011-08-24 00:00:00 UTC,,,,,,,,,,15.4188
2011-08-25 00:00:00 UTC,,,,,,,,,,22.5
2011-08-26 00:00:00 UTC,,,,,,,,,,53.18
2011-08-27 00:00:00 UTC,,,,,,,,,,54.51
2011-08-28 00:00:00 UTC,,,,,,,,,,5.0
2011-08-29 00:00:00 UTC,,,,,,,,,,17.75
2011-08-30 00:00:00 UTC,,,,,,,,,,10.0
2011-08-31 00:00:00 UTC,,,,,,,,,,25.5
2011-09-01 00:00:00 UTC,,,,,,,,,,84.0
2011-09-02 00:00:00 UTC,,,,,,,,,,
2011-09-03 00:00:00 UTC,,,,,,,,,,15.0
2011-09-04 00:00:00 UTC,,,,,,,,,,2.357
2011-09-05 00:00:00 UTC,,,,,,,,,,66.14286
2011-09-06 00:00:00 UTC,,,,,,,,,,25.3
2011-09-07 00:00:00 UTC,,,,,,,,,1.57531785,76.0
2011-09-08 00:00:00 UTC,,,,,,,,,,41.3
2011-09-09 00:00:00 UTC,,,,,,,,,,96.051
2011-09-10 00:00:00 UTC,,,,,,,,,,2.44
2011-09-11 00:00:00 UTC,,,,,,,,,,2.0
2011-09-12 00:00:00 UTC,,,,,,,,,,
2011-09-13 00:00:00 UTC,,,,,,,,,0.00018328,4.0
2011-09-14 00:00:00 UTC,,,,,,,,,,26.4
2011-09-15 00:00:00 UTC,,,,,,,,,,30.284
2011-09-16 00:00:00 UTC,,,,,,,,,,
2011-09-17 00:00:00 UTC,,,,,,,,,,50.0
2011-09-18 00:00:00 UTC,,,,,,,,,,53.0
2011-09-19 00:00:00 UTC,,,,,,,,,,20.0
2011-09-20 00:00:00 UTC,,,,,,,,,,10.0
2011-09-21 00:00:00 UTC,,,,,,,,,,10.924
2011-09-22 00:00:00 UTC,,,,,,,,,,10.447
2011-09-23 00:00:00 UTC,,,,,,,,,,1.0
2011-09-24 00:00:00 UTC,,,,,,,,,,
2011-09-25 00:00:00 UTC,,,,,,,,,,
2011-09-26 00:00:00 UTC,,,,,,,,,,
2011-09-27 00:00:00 UTC,,,,,,,,,,6.6
2011-09-28 00:00:00 UTC,,,,,,,,,,36.28
2011-09-29 00:00:00 UTC,,,,,,,,,,5.0
2011-09-30 00:00:00 UTC,,,,,,,,,,75.78878
2011-10-01 00:00:00 UTC,,,,,,,,,,50.21122
2011-10-02 00:00:00 UTC,,,,,,,,,,
2011-10-03 00:00:00 UTC,,,,,,,,,,
2011-10-04 00:00:00 UTC,,,,,,,,,,50.0
2011-10-05 00:00:00 UTC,,,,,,,,,,
2011-10-06 00:00:00 UTC,,,,,,,,,,2.4
2011-10-07 00:00:00 UTC,,,,,,,,,,236.11111
2011-10-08 00:00:00 UTC,,,,,,,,,,9.9
2011-10-09 00:00:00 UTC,,,,,,,,,,56.8474
2011-10-10 00:00:00 UTC,,,,,,,,,0.02023838,76.4974
2011-10-11 00:00:00 UTC,,,,,,,,,,114.0
