Time,anxbtc,itbit,localbitcoins,mtgox
2011-09-18 00:00:00 UTC,,,,0.212
2011-09-30 00:00:00 UTC,,,,0.02
2011-10-06 00:00:00 UTC,,,,0.0203
2011-10-09 00:00:00 UTC,,,,0.1
2011-10-13 00:00:00 UTC,,,,0.1
2011-10-15 00:00:00 UTC,,,,0.34153018
2011-10-17 00:00:00 UTC,,,,50.0
2011-10-18 00:00:00 UTC,,,,0.14973024
2011-11-14 00:00:00 UTC,,,,610.0
2011-12-05 00:00:00 UTC,,,,0.00071428
2012-01-08 00:00:00 UTC,,,,0.5
2012-01-16 00:00:00 UTC,,,,6.86218193
2012-01-24 00:00:00 UTC,,,,45.01551967
2012-02-23 00:00:00 UTC,,,,3.0
2012-02-29 00:00:00 UTC,,,,0.71459953
2012-03-04 00:00:00 UTC,,,,2.85159183
2012-03-16 00:00:00 UTC,,,,0.03510177
2012-03-25 00:00:00 UTC,,,,859.1372
2012-04-20 00:00:00 UTC,,,,0.03
2012-04-28 00:00:00 UTC,,,,0.03084821
2012-04-29 00:00:00 UTC,,,,0.04364908
2012-05-09 00:00:00 UTC,,,,0.05788554
2012-05-10 00:00:00 UTC,,,,0.03749088
2012-05-11 00:00:00 UTC,,,,0.16697481
2012-05-13 00:00:00 UTC,,,,0.02735306
2012-05-20 00:00:00 UTC,,,,0.37538328
2012-05-30 00:00:00 UTC,,,,27.22604206
2012-06-20 00:00:00 UTC,,,,11.92345618
2012-06-22 00:00:00 UTC,,,,0.0234
2012-06-27 00:00:00 UTC,,,,0.021
2012-07-05 00:00:00 UTC,,,,0.1104334
2012-07-20 00:00:00 UTC,,,,0.0869
2012-07-30 00:00:00 UTC,,,,17.75130054
2012-08-07 00:00:00 UTC,,,,2.90458721
2012-08-08 00:00:00 UTC,,,,70.0
2012-08-09 00:00:00 UTC,,,,70.0
2012-08-10 00:00:00 UTC,,,,13.9857853
2012-08-11 00:00:00 UTC,,,,0.01
2012-08-13 00:00:00 UTC,,,,14.08527682
2012-08-14 00:00:00 UTC,,,,210.0001
2012-08-15 00:00:00 UTC,,,,200.0
2012-08-16 00:00:00 UTC,,,,330.0
2012-08-21 00:00:00 UTC,,,,516.1001
2012-08-22 00:00:00 UTC,,,,17.37817112
2012-09-04 00:00:00 UTC,,,,14.96423565
2012-09-06 00:00:00 UTC,,,,35.0
2012-09-11 00:00:00 UTC,,,,14.0004539
2012-09-12 00:00:00 UTC,,,,190.67396733
2012-09-16 00:00:00 UTC,,,,0.0113
2012-09-18 00:00:00 UTC,,,,60.4019156
2012-09-19 00:00:00 UTC,,,,0.02774986
2012-09-21 00:00:00 UTC,,,,12.87591228
2012-09-26 00:00:00 UTC,,,,91.22971483
2012-10-02 00:00:00 UTC,,,,0.06598421
2012-10-03 00:00:00 UTC,,,,0.44590057
2012-10-04 00:00:00 UTC,,,,12.94758751
2012-10-08 00:00:00 UTC,,,,99.9
2012-10-09 00:00:00 UTC,,,,1.23482792
2012-10-15 00:00:00 UTC,,,,0.92303815
2012-10-16 00:00:00 UTC,,,,0.8021522
2012-10-28 00:00:00 UTC,,,,0.05306164
2012-10-29 00:00:00 UTC,,,,15.08148905
2012-10-31 00:00:00 UTC,,,,0.02770575
2012-11-01 00:00:00 UTC,,,,0.47229181
2012-11-06 00:00:00 UTC,,,,18.4439
2012-11-12 00:00:00 UTC,,,,6.0
2012-11-13 00:00:00 UTC,,,,1.33029427
2012-11-16 00:00:00 UTC,,,,1.21080713
2012-11-20 00:00:00 UTC,,,,13.66781438
2012-11-22 00:00:00 UTC,,,,0.01048801
2012-11-26 00:00:00 UTC,,,,279.38431325
2012-11-29 00:00:00 UTC,,,,0.02510996
2012-12-03 00:00:00 UTC,,,,160.02510996
2012-12-04 00:00:00 UTC,,,,0.40762365
2012-12-05 00:00:00 UTC,,,,20.40275306
2012-12-06 00:00:00 UTC,,,,0.59736976
2012-12-07 00:00:00 UTC,,,,0.254111
2012-12-08 00:00:00 UTC,,,,0.42710668
2012-12-09 00:00:00 UTC,,,,0.57289332
2012-12-10 00:00:00 UTC,,,,0.40789215
2012-12-11 00:00:00 UTC,,,,10.94400785
2012-12-14 00:00:00 UTC,,,,57.0
2012-12-17 00:00:00 UTC,,,,0.28645514
2012-12-20 00:00:00 UTC,,,,29.77308221
2012-12-21 00:00:00 UTC,,,,1.0
2013-01-08 00:00:00 UTC,,,,1.20978903
2013-01-13 00:00:00 UTC,,,,0.01
2013-01-15 00:00:00 UTC,,,,1.02173016
2013-01-16 00:00:00 UTC,,,,0.0391576
2013-01-17 00:00:00 UTC,,,,0.03173317
2013-01-18 00:00:00 UTC,,,,0.02000874
2013-01-21 00:00:00 UTC,,,,14.47908343
2013-01-22 00:00:00 UTC,,,,0.29062812
2013-01-23 00:00:00 UTC,,,,0.01668017
2013-01-24 00:00:00 UTC,,,,0.18748096
2013-01-25 00:00:00 UTC,,,,0.23164163
2013-01-26 00:00:00 UTC,,,,0.06861981
2013-01-28 00:00:00 UTC,,,,21.36171481
2013-01-29 00:00:00 UTC,,,,114.09963304
2013-01-30 00:00:00 UTC,,,,19.72672752
2013-01-31 00:00:00 UTC,,,,1.03483284
2013-02-01 00:00:00 UTC,,,,0.01930462
2013-02-04 00:00:00 UTC,,,,0.53900278
2013-02-06 00:00:00 UTC,,,,7.12862779
2013-02-07 00:00:00 UTC,,,,64.28912971
2013-02-08 00:00:00 UTC,,,,0.75
2013-02-11 00:00:00 UTC,,,,0.46105241
2013-02-12 00:00:00 UTC,,,,0.28929485
